CID,ADDRESS,NAME
C001  ," 7289 Broadway, New York           ", 123-45-6789
C002  ," 9837 Market St, San Francisco     ", 987-65-4321
C003  ," 6524 State St, Chicago            ", 345-67-8901
C004  ," 3261 Avenue A, Los Angeles        ", 567-89-0123
C005  ," 8572 Pine St, New York            ", 876-54-3210
C006  ," 1487 Oak St, San Francisco        ", 234-56-7890
C007  ," 9630 Elm St, Chicago              ", 678-90-1234
C008  ," 3689 Birch St, Los Angeles        ", 432-10-9876
C009  ," 9591 Cedar St, New York           ", 789-01-2345
C010  ," 3557 Maple St, San Francisco      ", 987-65-4321
C011  ," 6554 Oak St, Chicago              ", 345-67-8901
C012  ," 8542 Pine St, Los Angeles         ", 567-89-0123
C013  ," 9837 Cedar St, New York           ", 876-54-3210
C014  ," 3547 Birch St, San Francisco      ", 234-56-7890
C015  ," 1559 Elm St, Chicago              ", 678-90-1234
C016  ," 9451 Maple St, Los Angeles        ", 432-10-9876
C017  ," 2698 Chestnut St, New York        ", 111-22-3333
C018  ," 5723 Walnut St, San Francisco     ", 444-55-6666
C019  ," 7845 Cherry St, Chicago           ", 777-88-9999
C020  ," 4376 Pine St, Los Angeles         ", 123-33-2233
C021  ," 6982 Oak St, New York             ", 555-66-7777
C022  ," 5210 Birch St, San Francisco      ", 888-99-0000
C023  ," 1468 Elm St, Chicago              ", 111-11-1111
C024  ," 3098 Maple St, Los Angeles        ", 222-22-2222
C025  ," 6785 Cedar St, New York           ", 333-33-3333
C026  ," 2397 Market St, San Francisco     ", 444-44-4444
C027  ," 8521 State St, Chicago            ", 555-55-5555
C028  ," 4156 Avenue A, Los Angeles        ", 666-66-6666
C029  ," 7642 Pine St, New York            ", 777-77-7777
C030  ," 6311 Oak St, San Francisco        ", 888-88-8888
C031  ," 5984 Elm St, Chicago              ", 999-99-9999
C032  ," 1209 Birch St, Los Angeles        ", 111-00-0011
C033  ," 4867 Cedar St, New York           ", 222-11-1100
C034  ," 2156 Market St, San Francisco     ", 333-22-0022
C035  ," 7734 State St, Chicago            ", 444-33-0033
C036  ," 3489 Avenue A, Los Angeles        ", 555-44-0044
C037  ," 5213 Pine St, New York            ", 666-55-0055
C038  ," 8923 Oak St, San Francisco        ", 777-66-0066
C039  ," 6654 Elm St, Chicago              ", 888-77-0077
C040  ," 4421 Birch St, Los Angeles        ", 999-88-0088
C041  ," 7998 Cedar St, New York           ", 111-99-0099
C042  ," 3675 Market St, San Francisco     ", 222-00-0000
C043  ," 1234 State St, Chicago            ", 333-11-1111
C044  ," 6789 Avenue A, Los Angeles        ", 444-22-2222
C045  ," 9876 Pine St, New York            ", 555-33-3333
C046  ," 5432 Oak St, San Francisco        ", 666-44-4444
C047  ," 2154 Elm St, Chicago              ", 777-55-5555
C048  ," 7890 Maple St, Los Angeles        ", 888-66-6666
C049  ," 6543 Cedar St, New York           ", 999-77-7777
C050  ," 2365 Market St, San Francisco     ", 111-213-5222
C051  ," 9810 State St, Chicago            ", 222-22-1111
C052  ," 3762 Avenue A, Los Angeles        ", 333-33-4444
C053  ," 5098 Pine St, New York            ", 444-44-5555
C054  ," 7412 Oak St, San Francisco        ", 555-55-6666
C055  ," 6842 Elm St, Chicago              ", 666-66-7777
C056  ," 3578 Birch St, Los Angeles        ", 777-77-8888
C057  ," 1267 Cedar St, New York           ", 888-88-9999
C058  ," 8901 Market St, San Francisco     ", 999-99-0000
C059  ," 4321 State St, Chicago            ", 111-00-1111
C060  ," 7754 Avenue A, Los Angeles        ", 222-11-2222
C061  ," 6532 Pine St, New York            ", 333-22-3333
C062  ," 9873 Oak St, San Francisco        ", 444-33-4444
C063  ," 3456 Elm St, Chicago              ", 555-44-5555
C064  ," 6789 Maple St, Los Angeles        ", 666-55-6666
C065  ," 2134 Cedar St, New York           ", 777-66-7777
C066  ," 8790 Market St, San Francisco     ", 888-77-8888
C067  ," 5667 State St, Chicago            ", 999-88-9999
C068  ," 2211 Avenue A, Los Angeles        ", 111-99-0000
C069  ," 9988 Pine St, New York            ", 222-00-1111
C070  ," 7542 Oak St, San Francisco        ", 333-11-2222
C071            ," 1273 Main St, New York           ", Acme Corp
C072," 4576 Oak St, San Francisco       ", Beta Solutions
C073," 7869 Pine St, Chicago            ", Gamma Enterprises
C074," 9847 Elm St, New York            ", Delta Innovations
